# snr, ber
0.000000000000000000e+00,4.990768432617187500e-01
1.000000000000000000e+00,4.986267089843750000e-01
2.000000000000000000e+00,4.976348876953125000e-01
3.000000000000000000e+00,4.963760375976562500e-01
4.000000000000000000e+00,4.921417236328125000e-01
5.000000000000000000e+00,4.813995361328125000e-01
6.000000000000000000e+00,4.696273803710937500e-01
7.000000000000000000e+00,4.432067871093750000e-01
8.000000000000000000e+00,4.132919311523437500e-01
9.000000000000000000e+00,3.806228637695312500e-01
1.000000000000000000e+01,3.328933715820312500e-01
1.100000000000000000e+01,2.741928100585937500e-01
1.200000000000000000e+01,2.442092895507812500e-01
1.300000000000000000e+01,1.853256225585937500e-01
1.400000000000000000e+01,1.379089355468750000e-01
1.500000000000000000e+01,9.067535400390625000e-02
1.600000000000000000e+01,5.336761474609375000e-02
1.700000000000000000e+01,3.768157958984375000e-02
1.800000000000000000e+01,2.474975585937500000e-02
1.900000000000000000e+01,1.311492919921875000e-02
2.000000000000000000e+01,1.138305664062500000e-02
2.100000000000000000e+01,5.905151367187500000e-03
2.200000000000000000e+01,2.784729003906250000e-03
2.300000000000000000e+01,1.296997070312500000e-03
2.400000000000000000e+01,4.501342773437500000e-04
2.500000000000000000e+01,3.051757812500000000e-04
2.600000000000000000e+01,3.356933593750000000e-04
2.700000000000000000e+01,1.525878906250000000e-04
2.800000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00
