# snr, ber
0.000000000000000000e+00,4.985656738281250000e-01
1.000000000000000000e+00,5.002746582031250000e-01
2.000000000000000000e+00,4.941101074218750000e-01
3.000000000000000000e+00,5.006713867187500000e-01
4.000000000000000000e+00,4.983825683593750000e-01
5.000000000000000000e+00,5.041198730468750000e-01
6.000000000000000000e+00,4.993896484375000000e-01
7.000000000000000000e+00,4.971008300781250000e-01
8.000000000000000000e+00,4.981079101562500000e-01
9.000000000000000000e+00,4.965820312500000000e-01
1.000000000000000000e+01,4.954833984375000000e-01
1.100000000000000000e+01,4.833374023437500000e-01
1.200000000000000000e+01,4.689331054687500000e-01
1.300000000000000000e+01,4.426879882812500000e-01
1.400000000000000000e+01,3.973388671875000000e-01
1.500000000000000000e+01,3.625488281250000000e-01
1.600000000000000000e+01,3.085632324218750000e-01
1.700000000000000000e+01,2.706298828125000000e-01
1.800000000000000000e+01,2.217712402343750000e-01
1.900000000000000000e+01,1.679382324218750000e-01
2.000000000000000000e+01,1.263122558593750000e-01
2.100000000000000000e+01,7.907104492187500000e-02
2.200000000000000000e+01,5.780029296875000000e-02
2.300000000000000000e+01,6.115722656250000000e-02
2.400000000000000000e+01,2.395629882812500000e-02
2.500000000000000000e+01,1.959228515625000000e-02
2.600000000000000000e+01,2.157592773437500000e-02
2.700000000000000000e+01,1.226806640625000000e-02
2.800000000000000000e+01,1.342773437500000000e-03
2.900000000000000000e+01,2.288818359375000000e-03
3.000000000000000000e+01,7.019042968750000000e-04
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00
