# snr, ber
0.000000000000000000e+00,4.693679809570312500e-01
1.000000000000000000e+00,4.479446411132812500e-01
2.000000000000000000e+00,4.261550903320312500e-01
3.000000000000000000e+00,3.764495849609375000e-01
4.000000000000000000e+00,3.659286499023437500e-01
5.000000000000000000e+00,3.173522949218750000e-01
6.000000000000000000e+00,2.898406982421875000e-01
7.000000000000000000e+00,2.647781372070312500e-01
8.000000000000000000e+00,2.072830200195312500e-01
9.000000000000000000e+00,1.936874389648437500e-01
1.000000000000000000e+01,1.508407592773437500e-01
1.100000000000000000e+01,9.794616699218750000e-02
1.200000000000000000e+01,5.976867675781250000e-02
1.300000000000000000e+01,4.352569580078125000e-02
1.400000000000000000e+01,1.914215087890625000e-02
1.500000000000000000e+01,9.140014648437500000e-03
1.600000000000000000e+01,4.631042480468750000e-03
1.700000000000000000e+01,1.068115234375000000e-03
1.800000000000000000e+01,1.983642578125000000e-04
1.900000000000000000e+01,1.525878906250000000e-05
2.000000000000000000e+01,2.059936523437500000e-04
2.100000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00
