# snr, ber
0.000000000000000000e+00,5.012283325195312500e-01
1.000000000000000000e+00,4.986877441406250000e-01
2.000000000000000000e+00,4.979324340820312500e-01
3.000000000000000000e+00,4.994125366210937500e-01
4.000000000000000000e+00,5.006256103515625000e-01
5.000000000000000000e+00,5.013885498046875000e-01
6.000000000000000000e+00,5.013122558593750000e-01
7.000000000000000000e+00,5.008239746093750000e-01
8.000000000000000000e+00,4.995117187500000000e-01
9.000000000000000000e+00,4.970016479492187500e-01
1.000000000000000000e+01,4.973983764648437500e-01
1.100000000000000000e+01,4.941940307617187500e-01
1.200000000000000000e+01,4.895172119140625000e-01
1.300000000000000000e+01,4.735641479492187500e-01
1.400000000000000000e+01,4.518280029296875000e-01
1.500000000000000000e+01,4.271545410156250000e-01
1.600000000000000000e+01,3.969497680664062500e-01
1.700000000000000000e+01,3.600540161132812500e-01
1.800000000000000000e+01,3.190917968750000000e-01
1.900000000000000000e+01,2.604446411132812500e-01
2.000000000000000000e+01,2.278060913085937500e-01
2.100000000000000000e+01,1.879653930664062500e-01
2.200000000000000000e+01,1.501998901367187500e-01
2.300000000000000000e+01,8.849334716796875000e-02
2.400000000000000000e+01,6.866455078125000000e-02
2.500000000000000000e+01,4.421997070312500000e-02
2.600000000000000000e+01,3.356170654296875000e-02
2.700000000000000000e+01,2.234649658203125000e-02
2.800000000000000000e+01,1.435089111328125000e-02
2.900000000000000000e+01,9.941101074218750000e-03
3.000000000000000000e+01,4.287719726562500000e-03
3.100000000000000000e+01,2.105712890625000000e-03
3.200000000000000000e+01,4.577636718750000000e-05
3.300000000000000000e+01,5.416870117187500000e-04
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00
