# snr, ber
0.000000000000000000e+00,4.991607666015625000e-01
1.000000000000000000e+00,4.988327026367187500e-01
2.000000000000000000e+00,4.956130981445312500e-01
3.000000000000000000e+00,4.919662475585937500e-01
4.000000000000000000e+00,4.805831909179687500e-01
5.000000000000000000e+00,4.789428710937500000e-01
6.000000000000000000e+00,4.572753906250000000e-01
7.000000000000000000e+00,4.227600097656250000e-01
8.000000000000000000e+00,4.167556762695312500e-01
9.000000000000000000e+00,3.659515380859375000e-01
1.000000000000000000e+01,3.321609497070312500e-01
1.100000000000000000e+01,2.781677246093750000e-01
1.200000000000000000e+01,2.372665405273437500e-01
1.300000000000000000e+01,1.809997558593750000e-01
1.400000000000000000e+01,1.241836547851562500e-01
1.500000000000000000e+01,8.275604248046875000e-02
1.600000000000000000e+01,4.486083984375000000e-02
1.700000000000000000e+01,2.320861816406250000e-02
1.800000000000000000e+01,1.922607421875000000e-02
1.900000000000000000e+01,8.949279785156250000e-03
2.000000000000000000e+01,3.990173339843750000e-03
2.100000000000000000e+01,2.792358398437500000e-03
2.200000000000000000e+01,3.204345703125000000e-03
2.300000000000000000e+01,2.906799316406250000e-03
2.400000000000000000e+01,2.243041992187500000e-03
2.500000000000000000e+01,2.487182617187500000e-03
2.600000000000000000e+01,2.365112304687500000e-03
2.700000000000000000e+01,2.021789550781250000e-03
2.800000000000000000e+01,2.357482910156250000e-03
2.900000000000000000e+01,2.891540527343750000e-03
3.000000000000000000e+01,2.326965332031250000e-03
3.100000000000000000e+01,2.517700195312500000e-03
3.200000000000000000e+01,2.410888671875000000e-03
3.300000000000000000e+01,2.693176269531250000e-03
3.400000000000000000e+01,2.937316894531250000e-03
3.500000000000000000e+01,2.174377441406250000e-03
3.600000000000000000e+01,2.647399902343750000e-03
3.700000000000000000e+01,2.357482910156250000e-03
3.800000000000000000e+01,2.700805664062500000e-03
3.900000000000000000e+01,2.319335937500000000e-03
4.000000000000000000e+01,3.074645996093750000e-03
