# snr, ber
0.000000000000000000e+00,4.805603027343750000e-01
1.000000000000000000e+00,4.755859375000000000e-01
2.000000000000000000e+00,4.768981933593750000e-01
3.000000000000000000e+00,4.311218261718750000e-01
4.000000000000000000e+00,4.132690429687500000e-01
5.000000000000000000e+00,4.062805175781250000e-01
6.000000000000000000e+00,3.760681152343750000e-01
7.000000000000000000e+00,3.741760253906250000e-01
8.000000000000000000e+00,3.287353515625000000e-01
9.000000000000000000e+00,2.832336425781250000e-01
1.000000000000000000e+01,2.652893066406250000e-01
1.100000000000000000e+01,1.884155273437500000e-01
1.200000000000000000e+01,1.739501953125000000e-01
1.300000000000000000e+01,1.155395507812500000e-01
1.400000000000000000e+01,9.384155273437500000e-02
1.500000000000000000e+01,5.474853515625000000e-02
1.600000000000000000e+01,5.090332031250000000e-02
1.700000000000000000e+01,2.728271484375000000e-02
1.800000000000000000e+01,1.568603515625000000e-02
1.900000000000000000e+01,5.462646484375000000e-03
2.000000000000000000e+01,4.943847656250000000e-03
2.100000000000000000e+01,1.220703125000000000e-03
2.200000000000000000e+01,1.373291015625000000e-03
2.300000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00
