# snr, ber
0.000000000000000000e+00,5.005187988281250000e-01
1.000000000000000000e+00,4.971313476562500000e-01
2.000000000000000000e+00,4.976501464843750000e-01
3.000000000000000000e+00,4.966735839843750000e-01
4.000000000000000000e+00,5.008850097656250000e-01
5.000000000000000000e+00,4.941711425781250000e-01
6.000000000000000000e+00,4.997558593750000000e-01
7.000000000000000000e+00,4.899902343750000000e-01
8.000000000000000000e+00,4.885253906250000000e-01
9.000000000000000000e+00,4.866943359375000000e-01
1.000000000000000000e+01,4.634399414062500000e-01
1.100000000000000000e+01,4.405212402343750000e-01
1.200000000000000000e+01,3.976745605468750000e-01
1.300000000000000000e+01,3.695068359375000000e-01
1.400000000000000000e+01,3.117980957031250000e-01
1.500000000000000000e+01,2.388610839843750000e-01
1.600000000000000000e+01,1.771850585937500000e-01
1.700000000000000000e+01,1.726074218750000000e-01
1.800000000000000000e+01,1.093139648437500000e-01
1.900000000000000000e+01,9.619140625000000000e-02
2.000000000000000000e+01,7.751464843750000000e-02
2.100000000000000000e+01,2.832031250000000000e-02
2.200000000000000000e+01,2.059936523437500000e-02
2.300000000000000000e+01,2.407836914062500000e-02
2.400000000000000000e+01,1.119995117187500000e-02
2.500000000000000000e+01,2.136230468750000000e-03
2.600000000000000000e+01,5.279541015625000000e-03
2.700000000000000000e+01,1.953125000000000000e-03
2.800000000000000000e+01,2.685546875000000000e-03
2.900000000000000000e+01,3.784179687500000000e-03
3.000000000000000000e+01,2.410888671875000000e-03
3.100000000000000000e+01,3.234863281250000000e-03
3.200000000000000000e+01,2.380371093750000000e-03
3.300000000000000000e+01,2.563476562500000000e-03
3.400000000000000000e+01,2.471923828125000000e-03
3.500000000000000000e+01,2.502441406250000000e-03
3.600000000000000000e+01,2.075195312500000000e-03
3.700000000000000000e+01,2.624511718750000000e-03
3.800000000000000000e+01,2.593994140625000000e-03
3.900000000000000000e+01,2.563476562500000000e-03
4.000000000000000000e+01,3.814697265625000000e-03
